time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,ang_pos_x,ang_pos_y,ang_pos_z,ang_vel_x,ang_vel_y,ang_vel_z,ang_accel_x,ang_accel_y,ang_accel_z,alpha,baro_alt,imu_accel_x,imu_accel_y,imu_accel_z,imu_ang_pos_x,imu_ang_pos_y,imu_ang_pos_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,kalman_x_pos,kalman_x_vel,kalman_x_accel,kalman_y_pos,kalman_y_vel,kalman_y_accel,kalman_z_pos,kalman_z_vel,kalman_z_accel
7.019999999999895,1999.6110638755322,0.0,-111.86217972281872,298.90280543351054,0.0,-17.912359651035135,-25.92106659590638,0.0,0.9698192380677906,0.0,0.060054055852092766,0.0,0.0,-0.0005034850037063668,0.0,0.0,-1.1439749139245675e-05,0.0,0.05987492728360022,1999.7389519392163,-16.154817302389958,0.014915804877144122,-0.0032748797883661463,0.028753154948201156,0.018287669360278654,-0.014876909582372347,-0.00018255123668695737,-0.0013797657669057449,-0.001220052428997936,0.4022424090880099,0.8826091360216722,0.8588139914267057,-0.0006550026565428008,-0.0006254430499207516,-0.00019852160835563565,5.315206586860891,1.9290646186197833,0.3845607356470539
7.0299999999998946,2002.6000919298672,0.0,-112.04130331932907,298.64561139173804,0.0,-17.90278324779692,-25.8890309058112,0.0,0.9678179429764362,0.0,0.0600490210020557,0.0,0.0,-0.0005035358656564557,0.0,0.0,-8.834340532421867e-06,0.0,0.05989443670401888,2002.539921399491,-16.11752134466946,0.04157398273649906,-0.012109262480757941,0.012200933951510258,0.07106293873808162,0.09078590177154866,0.0010655780376937396,0.000988854802833795,-0.000532712778331386,0.4023363071834528,0.8825790634238495,0.8585978249647866,-0.0006120796964943445,-0.0006030516933676014,-0.00018894772082954237,5.336121657418777,1.933705739692724,0.38487317328791737
7.039999999999894,2005.5865480437847,0.0,-112.22033115180704,298.38873318768776,0.0,-17.893226595590974,-25.857073246965236,0.0,0.9658208964653068,0.0,0.060043985643399134,0.0,0.0,-0.0005035701579312915,0.0,0.0,-6.566171469556932e-06,0.0,0.059913982395776645,2005.8504856963618,-16.08531585327152,0.002569969413151015,-0.005534546531366826,0.04233112459046264,0.028076071668713787,0.0197914730353727,0.0005705018269690478,-0.0011075636551296747,-0.0011763760499658967,0.40001359358874017,0.8791050962698688,0.8559418745390279,-0.00017283689577265147,-0.0003844915773859619,-0.00010242592843874778,5.357134914746406,1.9383747936226012,0.385195132361623
7.049999999999894,2008.5704353756614,0.0,-112.39926341776297,298.13217005477213,0.0,-17.88368965026034,-25.8251933658026,0.0,0.9638280862820512,0.0,0.060038949941819825,0.0,0.0,-0.0005035901275399974,0.0,0.0,-4.6347604551235045e-06,0.0,0.05993356439127784,2008.2564423152855,-16.035756862157573,-0.00741847207159536,-0.023328702326243164,0.024848846767414345,0.03352481656697092,-0.053247404704443835,0.0007371868068481018,-0.0012064441261981085,0.00044797612686036834,0.3981928447467966,0.8763730033729219,0.8538363607342915,-0.00014117485789140718,-0.0003679526062059647,-9.553746905273246e-05,5.378555059548782,1.943224361784471,0.3855864067964174
7.059999999999894,2011.551757076209,0.0,-112.57810031426558,297.87592122897917,0.0,-17.874172366217465,-25.79339100982296,0.0,0.9618394998782944,0.0,0.06003391404054442,0.0,0.0,-0.0005035973201374571,0.0,0.0,-3.039616827799151e-06,0.0,0.05995318271185129,2011.5177919119328,-16.016878160162886,0.018548154144012365,0.04172612860724207,0.057865305607766954,0.1358331819024369,0.05250110858274174,-0.0007172009874183581,-0.0015552022715829548,-0.002391196719638527,0.39364999741497636,0.8697697489774384,0.8489835584489513,0.000391011988486596,-0.00010415266269432974,8.230867531190962e-06,5.399816376294336,1.9479743820986968,0.38593686285883283
7.069999999999894,2014.5305162884988,0.0,-112.75684203792775,297.6199859489668,0.0,-17.864674694700405,-25.761665927586243,0.0,0.959855124410213,0.0,0.06002887806734304,0.0,0.0,-0.0005035917966075195,0.0,0.0,-1.780242244548351e-06,0.0,0.059972837378463525,2014.4190954281762,-16.00685628029051,0.00783052413729823,-0.021769193965500505,-0.016641765999799437,0.037363004346371374,-0.03623765798613897,-0.0019871913404710924,-0.00014223602388246725,-0.0038904177555870697,0.39404824795663906,0.8702917200124985,0.8492788326877012,0.00023282402951910452,-0.00018163199204065153,-2.2147928376142163e-05,5.421211825075445,1.9527697448349308,0.38630346643621866
7.0799999999998935,2017.5067161479883,0.0,-112.93548878487476,297.3643634558602,0.0,-17.855196586977552,-25.730017868700518,0.0,0.9578749468520936,0.0,0.06002384214937696,0.0,0.0,-0.0005035735692903158,0.0,0.0,-8.561313810240389e-07,0.0,0.05999252843763586,2017.8298089043687,-15.980896838480044,-0.007147607557784872,-0.02931095806005937,0.01787596866863415,0.08160105767503059,0.010270653302628864,-0.0001618613914023045,-0.0002798912337013045,-0.0016400559995334695,0.3942418783243175,0.8705206156734101,0.8493686233885985,0.00015729912352324275,-0.00021819564347676427,-3.637248847342431e-05,5.442241794468262,1.9573639654147166,0.3865896573098029
7.089999999999893,2020.480359782547,0.0,-113.11404075074455,297.1092950608086,0.0,-17.845752541756667,-25.69847250279903,0.0,0.9559005118606412,0.0,0.06001880641368405,0.0,0.0,-0.0005035426505803504,0.0,0.0,-2.6677323771705525e-07,0.0,0.06001225585763121,2020.5537960925228,-15.903647332040041,-0.022672660612197193,0.03263283156475785,-0.12458190078976358,0.08804132688175269,-0.00726968487647158,-0.0029014766714901786,0.0002796760621763852,0.001786243079203492,0.39557541195528984,0.8723795288257198,0.8506264996091591,0.0005877900969274352,-5.441475390136183e-06,4.698664873744375e-05,5.463951214731102,1.962272339290026,0.3869974128823767
7.099999999999893,2023.4514527331553,0.0,-113.29249827616212,296.8549466126414,0.0,-17.83635251946209,-25.54341171283458,0.0,0.9465034874869622,0.0,0.06001377098717825,0.0,0.0,-0.0005034990529239956,0.0,0.0,-1.1651202483726993e-08,0.0,0.060032019578891885,2023.5510578040125,-15.795830183662874,0.010033640666171302,-0.002034780929060179,0.016875910274325123,0.07255767309734691,0.03693743289341555,-0.0010052839318189471,5.195518577644123e-05,-0.000632826883842425,0.3962822124830335,0.873314016645921,0.8511932172742149,0.00045517047929338284,-7.020285249388292e-05,2.148928728110243e-05,5.485337046114272,1.967000347747513,0.3873327983543602
7.109999999999893,2026.4200021992815,0.0,-113.47086180135673,296.6011125656513,0.0,-17.826984163158382,-25.512328300335966,0.0,0.9445569872035843,0.0,0.06000873599664901,0.0,0.0,-0.0005034426623690086,0.0,0.0,9.024338162538221e-08,0.0,0.06005181958534513,2026.4143484768413,-15.741045796694598,0.0007078017108750375,0.0004024666313609158,-0.0003366941317211822,0.08268853526258621,-0.03579602116384537,-0.00031111464991235747,-0.0010812552985989161,-0.00022179976708986665,0.40419535386224303,0.884547439083083,0.8591204232994815,0.0004712425748324018,-6.174294319891674e-05,2.470989879407236e-05,5.506489874200464,1.971593058030277,0.38761379851208816
