mach,alpha_deg,protuberance,cd_power_off,CD_Power_On,CA_Power_Off,CA_Power_On,CN_Total,CP_Total
0.08,9.0,0.0,0.605,0.58,0.447,0.421,1.045,87.169
0.08,9.0,1.0,0.755,0.73,0.599,0.574,1.045,87.169
0.08,10.0,0.0,0.644,0.619,0.449,0.424,1.161,87.169
0.08,10.0,1.0,0.795,0.77,0.603,0.577,1.161,87.169
0.08,11.0,0.0,0.688,0.663,0.452,0.427,1.277,87.169
0.08,11.0,1.0,0.839,0.814,0.607,0.581,1.277,87.169
0.08,12.0,0.0,0.735,0.71,0.456,0.43,1.393,87.169
0.08,12.0,1.0,0.887,0.862,0.611,0.585,1.393,87.169
0.08,13.0,0.0,0.787,0.762,0.459,0.433,1.509,87.169
0.08,13.0,1.0,0.939,0.914,0.616,0.59,1.509,87.169
0.08,14.0,0.0,0.842,0.817,0.463,0.437,1.626,87.169
0.08,14.0,1.0,0.996,0.97,0.621,0.595,1.626,87.169
0.08,15.0,0.0,0.902,0.876,0.467,0.441,1.742,87.169
0.08,15.0,1.0,1.056,1.03,0.626,0.6,1.742,87.169
0.09,0.0,0.0,0.433,0.408,0.433,0.408,0.0,87.169
0.09,0.0,1.0,0.581,0.557,0.581,0.557,0.0,87.169
0.09,1.0,0.0,0.435,0.41,0.433,0.408,0.116,87.169
0.09,1.0,1.0,0.583,0.559,0.582,0.557,0.116,87.169
0.09,2.0,0.0,0.441,0.416,0.433,0.409,0.232,87.169
0.09,2.0,1.0,0.59,0.565,0.582,0.557,0.232,87.169
0.09,3.0,0.0,0.452,0.427,0.434,0.409,0.348,87.169
0.09,3.0,1.0,0.6,0.576,0.583,0.558,0.348,87.169
0.09,4.0,0.0,0.466,0.441,0.435,0.41,0.464,87.169
0.09,4.0,1.0,0.615,0.59,0.584,0.559,0.464,87.169
0.09,5.0,0.0,0.485,0.46,0.436,0.411,0.581,87.169
0.09,5.0,1.0,0.634,0.609,0.586,0.561,0.581,87.169
0.09,6.0,0.0,0.508,0.483,0.437,0.413,0.697,87.169
0.09,6.0,1.0,0.657,0.633,0.588,0.563,0.697,87.169
0.09,7.0,0.0,0.535,0.51,0.439,0.414,0.813,87.169
0.09,7.0,1.0,0.685,0.66,0.59,0.565,0.813,87.169
0.09,8.0,0.0,0.566,0.541,0.441,0.416,0.929,87.169
0.09,8.0,1.0,0.716,0.691,0.593,0.568,0.929,87.169
0.09,9.0,0.0,0.602,0.577,0.444,0.418,1.045,87.169
0.09,9.0,1.0,0.752,0.727,0.596,0.571,1.045,87.169
0.09,10.0,0.0,0.641,0.616,0.446,0.421,1.161,87.169
0.09,10.0,1.0,0.792,0.767,0.599,0.574,1.161,87.169
0.09,11.0,0.0,0.685,0.659,0.449,0.423,1.277,87.169
0.09,11.0,1.0,0.836,0.811,0.603,0.578,1.277,87.169
0.09,12.0,0.0,0.732,0.707,0.452,0.426,1.393,87.169
0.09,12.0,1.0,0.884,0.859,0.608,0.582,1.393,87.169
0.09,13.0,0.0,0.784,0.758,0.456,0.43,1.509,87.169
0.09,13.0,1.0,0.936,0.911,0.612,0.586,1.509,87.169
0.09,14.0,0.0,0.839,0.814,0.46,0.433,1.626,87.169
0.09,14.0,1.0,0.992,0.967,0.617,0.591,1.626,87.169
0.09,15.0,0.0,0.899,0.873,0.464,0.437,1.742,87.169
0.09,15.0,1.0,1.053,1.027,0.623,0.597,1.742,87.169
0.1,0.0,0.0,0.43,0.405,0.43,0.405,0.0,87.169
0.1,0.0,1.0,0.578,0.554,0.578,0.554,0.0,87.169
0.1,1.0,0.0,0.432,0.407,0.43,0.405,0.116,87.169
0.1,1.0,1.0,0.58,0.556,0.579,0.554,0.116,87.169
0.1,2.0,0.0,0.438,0.413,0.43,0.406,0.232,87.169
0.1,2.0,1.0,0.587,0.562,0.579,0.554,0.232,87.169
